Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),13289,24655,37944,Kukai,MMR015011
 Associate Scrutiny Card (blue),67,36,103,Kukai,MMR015011
 Naturalised Scrutiny Card (green),132,258,390,Kukai,MMR015011
 National Registration Card (3-fold),937,4611,5548,Kukai,MMR015011
 Religious card,21,93,114,Kukai,MMR015011
 Temporary Registration Card (white),77,381,458,Kukai,MMR015011
 Foreign Registration Card (FRC),22,10,32,Kukai,MMR015011
 Foreign Passport,7,22,29,Kukai,MMR015011
 None,5327,27404,32731,Kukai,MMR015011
 Child under 10 years,5084,18901,23985,Kukai,MMR015011
 Total,24963,76371,101334,Kukai,MMR015011
