Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),38171,-,38171,Lanmadaw,MMR013035
 Associate Scrutiny Card (blue),1035,-,1035,Lanmadaw,MMR013035
 Naturalised Scrutiny Card (green),716,-,716,Lanmadaw,MMR013035
 National Registration Card (3-fold),193,-,193,Lanmadaw,MMR013035
 Religious card,533,-,533,Lanmadaw,MMR013035
 Temporary Registration Card (white),125,-,125,Lanmadaw,MMR013035
 Foreign Registration Card (FRC),151,-,151,Lanmadaw,MMR013035
 Foreign Passport,227,-,227,Lanmadaw,MMR013035
 None,2998,-,2998,Lanmadaw,MMR013035
 Child under 10 years,3011,-,3011,Lanmadaw,MMR013035
 Total,47160,-,47160,Lanmadaw,MMR013035
