Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),2412,61389,63801,Mingin,MMR005029
 Associate Scrutiny Card (blue),-,11,11,Mingin,MMR005029
 Naturalised Scrutiny Card (green),3,64,67,Mingin,MMR005029
 National Registration Card (3-fold),5,496,501,Mingin,MMR005029
 Religious card,57,307,364,Mingin,MMR005029
 Temporary Registration Card (white),35,94,129,Mingin,MMR005029
 Foreign Registration Card (FRC),4,1,5,Mingin,MMR005029
 Foreign Passport,-,7,7,Mingin,MMR005029
 None,414,18278,18692,Mingin,MMR005029
 Child under 10 years,537,20249,20786,Mingin,MMR005029
 Total,3467,100896,104363,Mingin,MMR005029
