Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),14891,72354,87245,Letpadan,MMR008008
 Associate Scrutiny Card (blue),25,31,56,Letpadan,MMR008008
 Naturalised Scrutiny Card (green),149,207,356,Letpadan,MMR008008
 National Registration Card (3-fold),243,665,908,Letpadan,MMR008008
 Religious card,179,406,585,Letpadan,MMR008008
 Temporary Registration Card (white),95,718,813,Letpadan,MMR008008
 Foreign Registration Card (FRC),8,10,18,Letpadan,MMR008008
 Foreign Passport,5,15,20,Letpadan,MMR008008
 None,5301,48339,53640,Letpadan,MMR008008
 Child under 10 years,3896,29870,33766,Letpadan,MMR008008
 Total,24792,152615,177407,Letpadan,MMR008008
