Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),3782,47039,50821,Kamma,MMR009015
 Associate Scrutiny Card (blue),3,14,17,Kamma,MMR009015
 Naturalised Scrutiny Card (green),18,54,72,Kamma,MMR009015
 National Registration Card (3-fold),15,159,174,Kamma,MMR009015
 Religious card,27,226,253,Kamma,MMR009015
 Temporary Registration Card (white),7,34,41,Kamma,MMR009015
 Foreign Registration Card (FRC),-,2,2,Kamma,MMR009015
 Foreign Passport,-,6,6,Kamma,MMR009015
 None,658,12344,13002,Kamma,MMR009015
 Child under 10 years,692,10115,10807,Kamma,MMR009015
 Total,5202,69993,75195,Kamma,MMR009015
