Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),10056,21710,31766,Loilem,MMR014011
 Associate Scrutiny Card (blue),8,20,28,Loilem,MMR014011
 Naturalised Scrutiny Card (green),36,35,71,Loilem,MMR014011
 National Registration Card (3-fold),85,63,148,Loilem,MMR014011
 Religious card,52,209,261,Loilem,MMR014011
 Temporary Registration Card (white),10,11,21,Loilem,MMR014011
 Foreign Registration Card (FRC),5,1,6,Loilem,MMR014011
 Foreign Passport,-,8,8,Loilem,MMR014011
 None,1004,7475,8479,Loilem,MMR014011
 Child under 10 years,2204,9379,11583,Loilem,MMR014011
 Total,13460,38911,52371,Loilem,MMR014011
