Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),5736,48901,54637,An,MMR012014
 Associate Scrutiny Card (blue),7,36,43,An,MMR012014
 Naturalised Scrutiny Card (green),2,50,52,An,MMR012014
 National Registration Card (3-fold),1,190,191,An,MMR012014
 Religious card,50,205,255,An,MMR012014
 Temporary Registration Card (white),13,216,229,An,MMR012014
 Foreign Registration Card (FRC),-,2,2,An,MMR012014
 Foreign Passport,3,151,154,An,MMR012014
 None,1079,36510,37589,An,MMR012014
 Child under 10 years,1623,24939,26562,An,MMR012014
 Total,8514,111200,119714,An,MMR012014
