Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),178,1618,1796,Sugali(ST),MMR003005
 Associate Scrutiny Card (blue),-,2,2,Sugali(ST),MMR003005
 Naturalised Scrutiny Card (green),-,1,1,Sugali(ST),MMR003005
 National Registration Card (3-fold),-,13,13,Sugali(ST),MMR003005
 Religious card,-,17,17,Sugali(ST),MMR003005
 Temporary Registration Card (white),-,22,22,Sugali(ST),MMR003005
 Foreign Registration Card (FRC),-,2,2,Sugali(ST),MMR003005
 Foreign Passport,-,8,8,Sugali(ST),MMR003005
 None,77,2216,2293,Sugali(ST),MMR003005
 Child under 10 years,87,1462,1549,Sugali(ST),MMR003005
 Total,342,5361,5703,Sugali(ST),MMR003005
