Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),19853,139649,159502,Lewe,MMR018007
 Associate Scrutiny Card (blue),23,91,114,Lewe,MMR018007
 Naturalised Scrutiny Card (green),66,406,472,Lewe,MMR018007
 National Registration Card (3-fold),104,2016,2120,Lewe,MMR018007
 Religious card,195,781,976,Lewe,MMR018007
 Temporary Registration Card (white),21,453,474,Lewe,MMR018007
 Foreign Registration Card (FRC),3,6,9,Lewe,MMR018007
 Foreign Passport,4,62,66,Lewe,MMR018007
 None,4890,58062,62952,Lewe,MMR018007
 Child under 10 years,5049,52659,57708,Lewe,MMR018007
 Total,30208,254185,284393,Lewe,MMR018007
