Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),78442,3669,82111,Zabuthiri,MMR018002
 Associate Scrutiny Card (blue),41,2,43,Zabuthiri,MMR018002
 Naturalised Scrutiny Card (green),156,13,169,Zabuthiri,MMR018002
 National Registration Card (3-fold),868,75,943,Zabuthiri,MMR018002
 Religious card,359,7,366,Zabuthiri,MMR018002
 Temporary Registration Card (white),405,12,417,Zabuthiri,MMR018002
 Foreign Registration Card (FRC),4,-,4,Zabuthiri,MMR018002
 Foreign Passport,14,1,15,Zabuthiri,MMR018002
 None,10071,914,10985,Zabuthiri,MMR018002
 Child under 10 years,14236,1170,15406,Zabuthiri,MMR018002
 Total,104596,5863,110459,Zabuthiri,MMR018002
