Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),7206,13678,20884,Khampat(ST),MMR005030
 Associate Scrutiny Card (blue),410,-,410,Khampat(ST),MMR005030
 Naturalised Scrutiny Card (green),1,1,2,Khampat(ST),MMR005030
 National Registration Card (3-fold),13,26,39,Khampat(ST),MMR005030
 Religious card,9,17,26,Khampat(ST),MMR005030
 Temporary Registration Card (white),6,22,28,Khampat(ST),MMR005030
 Foreign Registration Card (FRC),1,1,2,Khampat(ST),MMR005030
 Foreign Passport,1,5,6,Khampat(ST),MMR005030
 None,2907,4313,7220,Khampat(ST),MMR005030
 Child under 10 years,4005,6106,10111,Khampat(ST),MMR005030
 Total,14559,24169,38728,Khampat(ST),MMR005030
