Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),3666,60488,64154,Lounglon,MMR006002
 Associate Scrutiny Card (blue),1,49,50,Lounglon,MMR006002
 Naturalised Scrutiny Card (green),14,108,122,Lounglon,MMR006002
 National Registration Card (3-fold),8,1026,1034,Lounglon,MMR006002
 Religious card,40,484,524,Lounglon,MMR006002
 Temporary Registration Card (white),3,284,287,Lounglon,MMR006002
 Foreign Registration Card (FRC),-,5,5,Lounglon,MMR006002
 Foreign Passport,-,24,24,Lounglon,MMR006002
 None,669,25932,26601,Lounglon,MMR006002
 Child under 10 years,933,24583,25516,Lounglon,MMR006002
 Total,5334,112983,118317,Lounglon,MMR006002
