Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),103301,61691,164992,Pyin Oo Lwin,MMR010008
 Associate Scrutiny Card (blue),271,37,308,Pyin Oo Lwin,MMR010008
 Naturalised Scrutiny Card (green),415,136,551,Pyin Oo Lwin,MMR010008
 National Registration Card (3-fold),1248,424,1672,Pyin Oo Lwin,MMR010008
 Religious card,852,514,1366,Pyin Oo Lwin,MMR010008
 Temporary Registration Card (white),1169,715,1884,Pyin Oo Lwin,MMR010008
 Foreign Registration Card (FRC),74,8,82,Pyin Oo Lwin,MMR010008
 Foreign Passport,100,31,131,Pyin Oo Lwin,MMR010008
 None,27983,16989,44972,Pyin Oo Lwin,MMR010008
 Child under 10 years,23370,16180,39550,Pyin Oo Lwin,MMR010008
 Total,158783,96725,255508,Pyin Oo Lwin,MMR010008
