Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),18624,67649,86273,Paunde,MMR008004
 Associate Scrutiny Card (blue),37,56,93,Paunde,MMR008004
 Naturalised Scrutiny Card (green),116,89,205,Paunde,MMR008004
 National Registration Card (3-fold),49,418,467,Paunde,MMR008004
 Religious card,154,292,446,Paunde,MMR008004
 Temporary Registration Card (white),165,357,522,Paunde,MMR008004
 Foreign Registration Card (FRC),20,3,23,Paunde,MMR008004
 Foreign Passport,3,11,14,Paunde,MMR008004
 None,3253,27503,30756,Paunde,MMR008004
 Child under 10 years,3034,15728,18762,Paunde,MMR008004
 Total,25455,112106,137561,Paunde,MMR008004
