Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),4007,36123,40130,Mannaung,MMR017011
 Associate Scrutiny Card (blue),1,14,15,Mannaung,MMR017011
 Naturalised Scrutiny Card (green),1,40,41,Mannaung,MMR017011
 National Registration Card (3-fold),6,158,164,Mannaung,MMR017011
 Religious card,21,196,217,Mannaung,MMR017011
 Temporary Registration Card (white),-,172,172,Mannaung,MMR017011
 Foreign Passport,2,2,4,Mannaung,MMR017011
 None,477,7631,8108,Mannaung,MMR017011
 Child under 10 years,731,7384,8115,Mannaung,MMR017011
 Total,5246,51720,56966,Mannaung,MMR017011
