Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),14294,51432,65726,Kyangin,MMR017012
 Associate Scrutiny Card (blue),13,9,22,Kyangin,MMR017012
 Naturalised Scrutiny Card (green),17,41,58,Kyangin,MMR017012
 National Registration Card (3-fold),38,354,392,Kyangin,MMR017012
 Religious card,94,282,376,Kyangin,MMR017012
 Temporary Registration Card (white),7,118,125,Kyangin,MMR017012
 Foreign Registration Card (FRC),1,3,4,Kyangin,MMR017012
 Foreign Passport,-,4,4,Kyangin,MMR017012
 None,2416,13324,15740,Kyangin,MMR017012
 Child under 10 years,2615,11021,13636,Kyangin,MMR017012
 Total,19495,76588,96083,Kyangin,MMR017012
