Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),809,13526,14335,Mineyu(ST),MMR016011
 Associate Scrutiny Card (blue),-,89,89,Mineyu(ST),MMR016011
 Naturalised Scrutiny Card (green),-,83,83,Mineyu(ST),MMR016011
 National Registration Card (3-fold),1,17,18,Mineyu(ST),MMR016011
 Religious card,7,16,23,Mineyu(ST),MMR016011
 Temporary Registration Card (white),-,974,974,Mineyu(ST),MMR016011
 Foreign Registration Card (FRC),-,438,438,Mineyu(ST),MMR016011
 Foreign Passport,-,220,220,Mineyu(ST),MMR016011
 None,23,25588,25611,Mineyu(ST),MMR016011
 Child under 10 years,132,10408,10540,Mineyu(ST),MMR016011
 Total,972,51359,52331,Mineyu(ST),MMR016011
