Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),20683,48581,69264,Yatsauk,MMR014008
 Associate Scrutiny Card (blue),56,167,223,Yatsauk,MMR014008
 Naturalised Scrutiny Card (green),217,535,752,Yatsauk,MMR014008
 National Registration Card (3-fold),165,475,640,Yatsauk,MMR014008
 Religious card,90,281,371,Yatsauk,MMR014008
 Temporary Registration Card (white),35,109,144,Yatsauk,MMR014008
 Foreign Registration Card (FRC),5,39,44,Yatsauk,MMR014008
 Foreign Passport,4,26,30,Yatsauk,MMR014008
 None,3850,25411,29261,Yatsauk,MMR014008
 Child under 10 years,4428,21410,25838,Yatsauk,MMR014008
 Total,29533,97034,126567,Yatsauk,MMR014008
