Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),267499,105512,373011,Hlinethaya,MMR013008
 Associate Scrutiny Card (blue),341,138,479,Hlinethaya,MMR013008
 Naturalised Scrutiny Card (green),2229,794,3023,Hlinethaya,MMR013008
 National Registration Card (3-fold),28152,10967,39119,Hlinethaya,MMR013008
 Religious card,1180,763,1943,Hlinethaya,MMR013008
 Temporary Registration Card (white),7260,2359,9619,Hlinethaya,MMR013008
 Foreign Registration Card (FRC),115,34,149,Hlinethaya,MMR013008
 Foreign Passport,447,372,819,Hlinethaya,MMR013008
 None,100985,50229,151214,Hlinethaya,MMR013008
 Child under 10 years,73920,34571,108491,Hlinethaya,MMR013008
 Total,482128,205739,687867,Hlinethaya,MMR013008
