Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),26688,138619,165307,Maubin,MMR017019
 Associate Scrutiny Card (blue),138,58,196,Maubin,MMR017019
 Naturalised Scrutiny Card (green),103,246,349,Maubin,MMR017019
 National Registration Card (3-fold),169,1152,1321,Maubin,MMR017019
 Religious card,511,779,1290,Maubin,MMR017019
 Temporary Registration Card (white),39,196,235,Maubin,MMR017019
 Foreign Registration Card (FRC),41,13,54,Maubin,MMR017019
 Foreign Passport,8,27,35,Maubin,MMR017019
 None,9217,74210,83427,Maubin,MMR017019
 Child under 10 years,6197,55682,61879,Maubin,MMR017019
 Total,43111,270982,314093,Maubin,MMR017019
