Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),7624,52803,60427,Ponnagyun,MMR012002
 Associate Scrutiny Card (blue),4,20,24,Ponnagyun,MMR012002
 Naturalised Scrutiny Card (green),48,29,77,Ponnagyun,MMR012002
 National Registration Card (3-fold),19,182,201,Ponnagyun,MMR012002
 Religious card,46,337,383,Ponnagyun,MMR012002
 Temporary Registration Card (white),27,215,242,Ponnagyun,MMR012002
 Foreign Registration Card (FRC),1,1,2,Ponnagyun,MMR012002
 Foreign Passport,-,30,30,Ponnagyun,MMR012002
 None,2842,39148,41990,Ponnagyun,MMR012002
 Child under 10 years,2080,24297,26377,Ponnagyun,MMR012002
 Total,12691,117062,129753,Ponnagyun,MMR012002
