Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),16410,12726,29136,HaKa,MMR004002
 Associate Scrutiny Card (blue),11,4,15,HaKa,MMR004002
 Naturalised Scrutiny Card (green),5,7,12,HaKa,MMR004002
 National Registration Card (3-fold),13,51,64,HaKa,MMR004002
 Religious card,31,2,33,HaKa,MMR004002
 Temporary Registration Card (white),21,87,108,HaKa,MMR004002
 Foreign Registration Card (FRC),1,1,2,HaKa,MMR004002
 Foreign Passport,17,7,24,HaKa,MMR004002
 None,3459,4201,7660,HaKa,MMR004002
 Child under 10 years,4958,6340,11298,HaKa,MMR004002
 Total,24926,23426,48352,HaKa,MMR004002
