Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),75272,-,75272,Kyimyindine,MMR013038
 Associate Scrutiny Card (blue),181,-,181,Kyimyindine,MMR013038
 Naturalised Scrutiny Card (green),583,-,583,Kyimyindine,MMR013038
 National Registration Card (3-fold),1395,-,1395,Kyimyindine,MMR013038
 Religious card,513,-,513,Kyimyindine,MMR013038
 Temporary Registration Card (white),868,-,868,Kyimyindine,MMR013038
 Foreign Registration Card (FRC),56,-,56,Kyimyindine,MMR013038
 Foreign Passport,148,-,148,Kyimyindine,MMR013038
 None,16915,-,16915,Kyimyindine,MMR013038
 Child under 10 years,15583,-,15583,Kyimyindine,MMR013038
 Total,111514,-,111514,Kyimyindine,MMR013038
