Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),12379,68637,81016,Kyauktaw,MMR012004
 Associate Scrutiny Card (blue),3,29,32,Kyauktaw,MMR012004
 Naturalised Scrutiny Card (green),59,247,306,Kyauktaw,MMR012004
 National Registration Card (3-fold),13,252,265,Kyauktaw,MMR012004
 Religious card,128,482,610,Kyauktaw,MMR012004
 Temporary Registration Card (white),18,142,160,Kyauktaw,MMR012004
 Foreign Registration Card (FRC),-,1,1,Kyauktaw,MMR012004
 Foreign Passport,7,60,67,Kyauktaw,MMR012004
 None,3727,52156,55883,Kyauktaw,MMR012004
 Child under 10 years,3158,31602,34760,Kyauktaw,MMR012004
 Total,19492,153608,173100,Kyauktaw,MMR012004
