Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),3768,47510,51278,Tanintharyi,MMR006008
 Associate Scrutiny Card (blue),-,35,35,Tanintharyi,MMR006008
 Naturalised Scrutiny Card (green),6,159,165,Tanintharyi,MMR006008
 National Registration Card (3-fold),69,2151,2220,Tanintharyi,MMR006008
 Religious card,31,214,245,Tanintharyi,MMR006008
 Temporary Registration Card (white),4,403,407,Tanintharyi,MMR006008
 Foreign Registration Card (FRC),-,29,29,Tanintharyi,MMR006008
 Foreign Passport,1,12,13,Tanintharyi,MMR006008
 None,648,25519,26167,Tanintharyi,MMR006008
 Child under 10 years,987,25307,26294,Tanintharyi,MMR006008
 Total,5514,101339,106853,Tanintharyi,MMR006008
