Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),5418,5677,11095,Hopan,MMR015021
 Associate Scrutiny Card (blue),2,23,25,Hopan,MMR015021
 Naturalised Scrutiny Card (green),15,61,76,Hopan,MMR015021
 National Registration Card (3-fold),1112,746,1858,Hopan,MMR015021
 Religious card,27,59,86,Hopan,MMR015021
 Temporary Registration Card (white),114,441,555,Hopan,MMR015021
 Foreign Registration Card (FRC),-,16,16,Hopan,MMR015021
 Foreign Passport,4,8,12,Hopan,MMR015021
 None,6693,21431,28124,Hopan,MMR015021
 Child under 10 years,3508,9539,13047,Hopan,MMR015021
 Total,16893,38001,54894,Hopan,MMR015021
