Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),51119,-,51119,Yankin,MMR013010
 Associate Scrutiny Card (blue),204,-,204,Yankin,MMR013010
 Naturalised Scrutiny Card (green),1194,-,1194,Yankin,MMR013010
 National Registration Card (3-fold),812,-,812,Yankin,MMR013010
 Religious card,1119,-,1119,Yankin,MMR013010
 Temporary Registration Card (white),567,-,567,Yankin,MMR013010
 Foreign Registration Card (FRC),151,-,151,Yankin,MMR013010
 Foreign Passport,884,-,884,Yankin,MMR013010
 None,7396,-,7396,Yankin,MMR013010
 Child under 10 years,7500,-,7500,Yankin,MMR013010
 Total,70946,-,70946,Yankin,MMR013010
