Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),54461,137345,191806,Sagaing,MMR005001
 Associate Scrutiny Card (blue),27,60,87,Sagaing,MMR005001
 Naturalised Scrutiny Card (green),112,554,666,Sagaing,MMR005001
 National Registration Card (3-fold),315,2829,3144,Sagaing,MMR005001
 Religious card,1557,5506,7063,Sagaing,MMR005001
 Temporary Registration Card (white),98,144,242,Sagaing,MMR005001
 Foreign Registration Card (FRC),24,2,26,Sagaing,MMR005001
 Foreign Passport,41,62,103,Sagaing,MMR005001
 None,13254,44913,58167,Sagaing,MMR005001
 Child under 10 years,11543,34347,45890,Sagaing,MMR005001
 Total,81432,225762,307194,Sagaing,MMR005001
