Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),3968,76919,80887,Butalin,MMR005013
 Associate Scrutiny Card (blue),-,12,12,Butalin,MMR005013
 Naturalised Scrutiny Card (green),2,78,80,Butalin,MMR005013
 National Registration Card (3-fold),7,1156,1163,Butalin,MMR005013
 Religious card,102,569,671,Butalin,MMR005013
 Temporary Registration Card (white),2,24,26,Butalin,MMR005013
 Foreign Passport,-,14,14,Butalin,MMR005013
 None,457,18611,19068,Butalin,MMR005013
 Child under 10 years,672,20946,21618,Butalin,MMR005013
 Total,5210,118329,123539,Butalin,MMR005013
