Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),34428,79385,113813,Kengtung,MMR016001
 Associate Scrutiny Card (blue),119,43,162,Kengtung,MMR016001
 Naturalised Scrutiny Card (green),119,85,204,Kengtung,MMR016001
 National Registration Card (3-fold),113,300,413,Kengtung,MMR016001
 Religious card,243,334,577,Kengtung,MMR016001
 Temporary Registration Card (white),133,394,527,Kengtung,MMR016001
 Foreign Registration Card (FRC),25,4,29,Kengtung,MMR016001
 Foreign Passport,89,47,136,Kengtung,MMR016001
 None,2586,18427,21013,Kengtung,MMR016001
 Child under 10 years,6434,28312,34746,Kengtung,MMR016001
 Total,44289,127331,171620,Kengtung,MMR016001
