Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),142123,-,142123,Dagon Myothit(North),MMR013019
 Associate Scrutiny Card (blue),114,-,114,Dagon Myothit(North),MMR013019
 Naturalised Scrutiny Card (green),573,-,573,Dagon Myothit(North),MMR013019
 National Registration Card (3-fold),4102,-,4102,Dagon Myothit(North),MMR013019
 Religious card,872,-,872,Dagon Myothit(North),MMR013019
 Temporary Registration Card (white),1901,-,1901,Dagon Myothit(North),MMR013019
 Foreign Registration Card (FRC),43,-,43,Dagon Myothit(North),MMR013019
 Foreign Passport,138,-,138,Dagon Myothit(North),MMR013019
 None,28844,-,28844,Dagon Myothit(North),MMR013019
 Child under 10 years,25238,-,25238,Dagon Myothit(North),MMR013019
 Total,203948,-,203948,Dagon Myothit(North),MMR013019
