Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),36103,36237,72340,Htantabin,MMR013006
 Associate Scrutiny Card (blue),22,26,48,Htantabin,MMR013006
 Naturalised Scrutiny Card (green),201,107,308,Htantabin,MMR013006
 National Registration Card (3-fold),2020,2784,4804,Htantabin,MMR013006
 Religious card,434,24,458,Htantabin,MMR013006
 Temporary Registration Card (white),113,130,243,Htantabin,MMR013006
 Foreign Registration Card (FRC),5,4,9,Htantabin,MMR013006
 Foreign Passport,7,16,23,Htantabin,MMR013006
 None,18575,20951,39526,Htantabin,MMR013006
 Child under 10 years,14327,13706,28033,Htantabin,MMR013006
 Total,71807,73985,145792,Htantabin,MMR013006
