Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),44352,51910,96262,Thanbyuzayat,MMR011004
 Associate Scrutiny Card (blue),23,36,59,Thanbyuzayat,MMR011004
 Naturalised Scrutiny Card (green),191,131,322,Thanbyuzayat,MMR011004
 National Registration Card (3-fold),595,819,1414,Thanbyuzayat,MMR011004
 Religious card,1028,145,1173,Thanbyuzayat,MMR011004
 Temporary Registration Card (white),220,251,471,Thanbyuzayat,MMR011004
 Foreign Registration Card (FRC),4,1,5,Thanbyuzayat,MMR011004
 Foreign Passport,9,15,24,Thanbyuzayat,MMR011004
 None,18286,19292,37578,Thanbyuzayat,MMR011004
 Child under 10 years,16741,16487,33228,Thanbyuzayat,MMR011004
 Total,81449,89087,170536,Thanbyuzayat,MMR011004
