Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),15767,11211,26978,Hkamti,MMR005033
 Associate Scrutiny Card (blue),20,11,31,Hkamti,MMR005033
 Naturalised Scrutiny Card (green),89,29,118,Hkamti,MMR005033
 National Registration Card (3-fold),46,45,91,Hkamti,MMR005033
 Religious card,100,16,116,Hkamti,MMR005033
 Temporary Registration Card (white),77,56,133,Hkamti,MMR005033
 Foreign Registration Card (FRC),-,2,2,Hkamti,MMR005033
 Foreign Passport,8,2,10,Hkamti,MMR005033
 None,5992,4745,10737,Hkamti,MMR005033
 Child under 10 years,4817,4625,9442,Hkamti,MMR005033
 Total,26916,20742,47658,Hkamti,MMR005033
