Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),12490,14165,26655,Saw,MMR009025
 Associate Scrutiny Card (blue),1,3,4,Saw,MMR009025
 Naturalised Scrutiny Card (green),9,2,11,Saw,MMR009025
 National Registration Card (3-fold),14,11,25,Saw,MMR009025
 Religious card,151,26,177,Saw,MMR009025
 Temporary Registration Card (white),7,7,14,Saw,MMR009025
 Foreign Passport,1,1,2,Saw,MMR009025
 None,1409,1350,2759,Saw,MMR009025
 Child under 10 years,3127,3058,6185,Saw,MMR009025
 Total,17209,18623,35832,Saw,MMR009025
