Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),14558,16002,30560,Le`char,MMR014012
 Associate Scrutiny Card (blue),10,5,15,Le`char,MMR014012
 Naturalised Scrutiny Card (green),43,42,85,Le`char,MMR014012
 National Registration Card (3-fold),53,62,115,Le`char,MMR014012
 Religious card,173,-,173,Le`char,MMR014012
 Temporary Registration Card (white),3,1,4,Le`char,MMR014012
 Foreign Registration Card (FRC),1,1,2,Le`char,MMR014012
 Foreign Passport,-,1,1,Le`char,MMR014012
 None,4362,4540,8902,Le`char,MMR014012
 Child under 10 years,4443,4531,8974,Le`char,MMR014012
 Total,23646,25185,48831,Le`char,MMR014012
