Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),29626,34545,64171,Thayetchaung,MMR006003
 Associate Scrutiny Card (blue),20,20,40,Thayetchaung,MMR006003
 Naturalised Scrutiny Card (green),79,55,134,Thayetchaung,MMR006003
 National Registration Card (3-fold),487,870,1357,Thayetchaung,MMR006003
 Religious card,328,29,357,Thayetchaung,MMR006003
 Temporary Registration Card (white),109,102,211,Thayetchaung,MMR006003
 Foreign Registration Card (FRC),3,1,4,Thayetchaung,MMR006003
 Foreign Passport,26,8,34,Thayetchaung,MMR006003
 None,7942,8575,16517,Thayetchaung,MMR006003
 Child under 10 years,11801,11036,22837,Thayetchaung,MMR006003
 Total,50421,55241,105662,Thayetchaung,MMR006003
