Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),30646,37877,68523,Myaung,MMR005003
 Associate Scrutiny Card (blue),15,12,27,Myaung,MMR005003
 Naturalised Scrutiny Card (green),49,85,134,Myaung,MMR005003
 National Registration Card (3-fold),385,816,1201,Myaung,MMR005003
 Religious card,488,15,503,Myaung,MMR005003
 Temporary Registration Card (white),32,10,42,Myaung,MMR005003
 Foreign Registration Card (FRC),1,2,3,Myaung,MMR005003
 Foreign Passport,12,13,25,Myaung,MMR005003
 None,7851,12014,19865,Myaung,MMR005003
 Child under 10 years,8198,7890,16088,Myaung,MMR005003
 Total,47677,58734,106411,Myaung,MMR005003
