Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),100361,107578,207939,Dagon Myothit(South),MMR013018
 Associate Scrutiny Card (blue),131,160,291,Dagon Myothit(South),MMR013018
 Naturalised Scrutiny Card (green),1903,1551,3454,Dagon Myothit(South),MMR013018
 National Registration Card (3-fold),6532,9051,15583,Dagon Myothit(South),MMR013018
 Religious card,1290,269,1559,Dagon Myothit(South),MMR013018
 Temporary Registration Card (white),3482,4328,7810,Dagon Myothit(South),MMR013018
 Foreign Registration Card (FRC),49,59,108,Dagon Myothit(South),MMR013018
 Foreign Passport,54,55,109,Dagon Myothit(South),MMR013018
 None,37235,38700,75935,Dagon Myothit(South),MMR013018
 Child under 10 years,30103,28755,58858,Dagon Myothit(South),MMR013018
 Total,181140,190506,371646,Dagon Myothit(South),MMR013018
