Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),36491,41340,77831,Kani,MMR005017
 Associate Scrutiny Card (blue),15,20,35,Kani,MMR005017
 Naturalised Scrutiny Card (green),128,68,196,Kani,MMR005017
 National Registration Card (3-fold),463,1057,1520,Kani,MMR005017
 Religious card,457,9,466,Kani,MMR005017
 Temporary Registration Card (white),72,55,127,Kani,MMR005017
 Foreign Passport,7,16,23,Kani,MMR005017
 None,12279,17273,29552,Kani,MMR005017
 Child under 10 years,12553,12238,24791,Kani,MMR005017
 Total,62465,72076,134541,Kani,MMR005017
