Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),19222,23952,43174,Ahlon,MMR013037
 Associate Scrutiny Card (blue),209,167,376,Ahlon,MMR013037
 Naturalised Scrutiny Card (green),216,193,409,Ahlon,MMR013037
 National Registration Card (3-fold),169,233,402,Ahlon,MMR013037
 Religious card,400,4,404,Ahlon,MMR013037
 Temporary Registration Card (white),221,188,409,Ahlon,MMR013037
 Foreign Registration Card (FRC),26,25,51,Ahlon,MMR013037
 Foreign Passport,132,30,162,Ahlon,MMR013037
 None,2252,2507,4759,Ahlon,MMR013037
 Child under 10 years,2704,2632,5336,Ahlon,MMR013037
 Total,25551,29931,55482,Ahlon,MMR013037
