Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),82133,82859,164992,Pyin Oo Lwin,MMR010008
 Associate Scrutiny Card (blue),161,147,308,Pyin Oo Lwin,MMR010008
 Naturalised Scrutiny Card (green),343,208,551,Pyin Oo Lwin,MMR010008
 National Registration Card (3-fold),768,904,1672,Pyin Oo Lwin,MMR010008
 Religious card,1178,188,1366,Pyin Oo Lwin,MMR010008
 Temporary Registration Card (white),854,1030,1884,Pyin Oo Lwin,MMR010008
 Foreign Registration Card (FRC),45,37,82,Pyin Oo Lwin,MMR010008
 Foreign Passport,83,48,131,Pyin Oo Lwin,MMR010008
 None,22452,22520,44972,Pyin Oo Lwin,MMR010008
 Child under 10 years,20010,19540,39550,Pyin Oo Lwin,MMR010008
 Total,128027,127481,255508,Pyin Oo Lwin,MMR010008
