Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),53002,64898,117900,Mudon,MMR011005
 Associate Scrutiny Card (blue),29,47,76,Mudon,MMR011005
 Naturalised Scrutiny Card (green),185,106,291,Mudon,MMR011005
 National Registration Card (3-fold),610,1027,1637,Mudon,MMR011005
 Religious card,1601,285,1886,Mudon,MMR011005
 Temporary Registration Card (white),204,208,412,Mudon,MMR011005
 Foreign Registration Card (FRC),7,3,10,Mudon,MMR011005
 Foreign Passport,8,12,20,Mudon,MMR011005
 None,16790,17255,34045,Mudon,MMR011005
 Child under 10 years,17540,16920,34460,Mudon,MMR011005
 Total,89976,100761,190737,Mudon,MMR011005
