Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),26440,24359,50799,Nanhsam(South),MMR014013
 Associate Scrutiny Card (blue),19,13,32,Nanhsam(South),MMR014013
 Naturalised Scrutiny Card (green),94,24,118,Nanhsam(South),MMR014013
 National Registration Card (3-fold),163,184,347,Nanhsam(South),MMR014013
 Religious card,274,11,285,Nanhsam(South),MMR014013
 Temporary Registration Card (white),52,30,82,Nanhsam(South),MMR014013
 Foreign Registration Card (FRC),1,1,2,Nanhsam(South),MMR014013
 Foreign Passport,3,14,17,Nanhsam(South),MMR014013
 None,9580,11433,21013,Nanhsam(South),MMR014013
 Child under 10 years,9916,9691,19607,Nanhsam(South),MMR014013
 Total,46542,45760,92302,Nanhsam(South),MMR014013
