Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),33427,36791,70218,Gyobingauk,MMR008014
 Associate Scrutiny Card (blue),24,30,54,Gyobingauk,MMR008014
 Naturalised Scrutiny Card (green),158,159,317,Gyobingauk,MMR008014
 National Registration Card (3-fold),257,323,580,Gyobingauk,MMR008014
 Religious card,526,172,698,Gyobingauk,MMR008014
 Temporary Registration Card (white),65,88,153,Gyobingauk,MMR008014
 Foreign Registration Card (FRC),14,16,30,Gyobingauk,MMR008014
 Foreign Passport,6,17,23,Gyobingauk,MMR008014
 None,12812,15972,28784,Gyobingauk,MMR008014
 Child under 10 years,8460,8116,16576,Gyobingauk,MMR008014
 Total,55749,61684,117433,Gyobingauk,MMR008014
