Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),78466,103120,181586,Myingyan,MMR010017
 Associate Scrutiny Card (blue),33,47,80,Myingyan,MMR010017
 Naturalised Scrutiny Card (green),365,249,614,Myingyan,MMR010017
 National Registration Card (3-fold),754,1284,2038,Myingyan,MMR010017
 Religious card,1387,150,1537,Myingyan,MMR010017
 Temporary Registration Card (white),422,726,1148,Myingyan,MMR010017
 Foreign Registration Card (FRC),9,12,21,Myingyan,MMR010017
 Foreign Passport,37,26,63,Myingyan,MMR010017
 None,21019,25375,46394,Myingyan,MMR010017
 Child under 10 years,21608,21007,42615,Myingyan,MMR010017
 Total,124100,151996,276096,Myingyan,MMR010017
