Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),55548,56622,112170,Daydaye,MMR017026
 Associate Scrutiny Card (blue),62,67,129,Daydaye,MMR017026
 Naturalised Scrutiny Card (green),204,185,389,Daydaye,MMR017026
 National Registration Card (3-fold),226,376,602,Daydaye,MMR017026
 Religious card,728,48,776,Daydaye,MMR017026
 Temporary Registration Card (white),117,93,210,Daydaye,MMR017026
 Foreign Registration Card (FRC),14,5,19,Daydaye,MMR017026
 Foreign Passport,16,21,37,Daydaye,MMR017026
 None,22225,25669,47894,Daydaye,MMR017026
 Child under 10 years,20474,20226,40700,Daydaye,MMR017026
 Total,99614,103312,202926,Daydaye,MMR017026
