Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),60221,78663,138884,Taungtha,MMR010018
 Associate Scrutiny Card (blue),13,22,35,Taungtha,MMR010018
 Naturalised Scrutiny Card (green),228,171,399,Taungtha,MMR010018
 National Registration Card (3-fold),701,1278,1979,Taungtha,MMR010018
 Religious card,694,56,750,Taungtha,MMR010018
 Temporary Registration Card (white),65,93,158,Taungtha,MMR010018
 Foreign Passport,21,16,37,Taungtha,MMR010018
 None,15848,20199,36047,Taungtha,MMR010018
 Child under 10 years,19370,18983,38353,Taungtha,MMR010018
 Total,97161,119481,216642,Taungtha,MMR010018
