Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),39599,35981,75580,MuSe,MMR015009
 Associate Scrutiny Card (blue),116,111,227,MuSe,MMR015009
 Naturalised Scrutiny Card (green),465,217,682,MuSe,MMR015009
 National Registration Card (3-fold),2071,2655,4726,MuSe,MMR015009
 Religious card,271,76,347,MuSe,MMR015009
 Temporary Registration Card (white),224,221,445,MuSe,MMR015009
 Foreign Registration Card (FRC),14,10,24,MuSe,MMR015009
 Foreign Passport,68,33,101,MuSe,MMR015009
 None,8036,7636,15672,MuSe,MMR015009
 Child under 10 years,10082,9621,19703,MuSe,MMR015009
 Total,60946,56561,117507,MuSe,MMR015009
