Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),4782,4776,9558,Bawgali(ST),MMR003004
 Associate Scrutiny Card (blue),2,-,2,Bawgali(ST),MMR003004
 Naturalised Scrutiny Card (green),9,5,14,Bawgali(ST),MMR003004
 National Registration Card (3-fold),33,45,78,Bawgali(ST),MMR003004
 Religious card,7,-,7,Bawgali(ST),MMR003004
 Temporary Registration Card (white),35,57,92,Bawgali(ST),MMR003004
 Foreign Passport,1,3,4,Bawgali(ST),MMR003004
 None,1518,1747,3265,Bawgali(ST),MMR003004
 Child under 10 years,2130,2087,4217,Bawgali(ST),MMR003004
 Total,8517,8720,17237,Bawgali(ST),MMR003004
