Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),23948,25307,49255,Shwegu,MMR001011
 Associate Scrutiny Card (blue),24,29,53,Shwegu,MMR001011
 Naturalised Scrutiny Card (green),72,55,127,Shwegu,MMR001011
 National Registration Card (3-fold),107,156,263,Shwegu,MMR001011
 Religious card,318,22,340,Shwegu,MMR001011
 Temporary Registration Card (white),232,282,514,Shwegu,MMR001011
 Foreign Registration Card (FRC),2,8,10,Shwegu,MMR001011
 Foreign Passport,13,4,17,Shwegu,MMR001011
 None,10786,10450,21236,Shwegu,MMR001011
 Child under 10 years,9560,9316,18876,Shwegu,MMR001011
 Total,45062,45629,90691,Shwegu,MMR001011
