Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),41357,54892,96249,Tasei,MMR005011
 Associate Scrutiny Card (blue),10,14,24,Tasei,MMR005011
 Naturalised Scrutiny Card (green),78,67,145,Tasei,MMR005011
 National Registration Card (3-fold),335,724,1059,Tasei,MMR005011
 Religious card,602,26,628,Tasei,MMR005011
 Temporary Registration Card (white),50,149,199,Tasei,MMR005011
 Foreign Registration Card (FRC),1,-,1,Tasei,MMR005011
 Foreign Passport,5,6,11,Tasei,MMR005011
 None,14154,21245,35399,Tasei,MMR005011
 Child under 10 years,15883,15512,31395,Tasei,MMR005011
 Total,72475,92635,165110,Tasei,MMR005011
