Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),28565,34896,63461,Seikphyu,MMR009022
 Associate Scrutiny Card (blue),6,7,13,Seikphyu,MMR009022
 Naturalised Scrutiny Card (green),56,34,90,Seikphyu,MMR009022
 National Registration Card (3-fold),113,207,320,Seikphyu,MMR009022
 Religious card,305,27,332,Seikphyu,MMR009022
 Temporary Registration Card (white),20,42,62,Seikphyu,MMR009022
 Foreign Registration Card (FRC),-,1,1,Seikphyu,MMR009022
 Foreign Passport,63,11,74,Seikphyu,MMR009022
 None,7379,10298,17677,Seikphyu,MMR009022
 Child under 10 years,10402,10337,20739,Seikphyu,MMR009022
 Total,46909,55860,102769,Seikphyu,MMR009022
