Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),4860,5169,10029,Pansai(KyuKute)(ST),MMR015009
 Associate Scrutiny Card (blue),8,15,23,Pansai(KyuKute)(ST),MMR015009
 Naturalised Scrutiny Card (green),123,75,198,Pansai(KyuKute)(ST),MMR015009
 National Registration Card (3-fold),931,1039,1970,Pansai(KyuKute)(ST),MMR015009
 Religious card,36,18,54,Pansai(KyuKute)(ST),MMR015009
 Temporary Registration Card (white),350,337,687,Pansai(KyuKute)(ST),MMR015009
 Foreign Registration Card (FRC),9,5,14,Pansai(KyuKute)(ST),MMR015009
 Foreign Passport,5,6,11,Pansai(KyuKute)(ST),MMR015009
 None,2749,2524,5273,Pansai(KyuKute)(ST),MMR015009
 Child under 10 years,2398,2293,4691,Pansai(KyuKute)(ST),MMR015009
 Total,11469,11481,22950,Pansai(KyuKute)(ST),MMR015009
