Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),54496,55332,109828,Kalaw,MMR014005
 Associate Scrutiny Card (blue),207,197,404,Kalaw,MMR014005
 Naturalised Scrutiny Card (green),253,155,408,Kalaw,MMR014005
 National Registration Card (3-fold),478,708,1186,Kalaw,MMR014005
 Religious card,680,51,731,Kalaw,MMR014005
 Temporary Registration Card (white),157,132,289,Kalaw,MMR014005
 Foreign Registration Card (FRC),34,30,64,Kalaw,MMR014005
 Foreign Passport,100,59,159,Kalaw,MMR014005
 None,19229,19356,38585,Kalaw,MMR014005
 Child under 10 years,17458,16971,34429,Kalaw,MMR014005
 Total,93092,92991,186083,Kalaw,MMR014005
