Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),1863,1645,3508,Wawlaymyaing(ST),MMR003005
 Associate Scrutiny Card (blue),1,1,2,Wawlaymyaing(ST),MMR003005
 Naturalised Scrutiny Card (green),10,1,11,Wawlaymyaing(ST),MMR003005
 National Registration Card (3-fold),18,16,34,Wawlaymyaing(ST),MMR003005
 Religious card,13,1,14,Wawlaymyaing(ST),MMR003005
 Temporary Registration Card (white),35,34,69,Wawlaymyaing(ST),MMR003005
 Foreign Passport,1,-,1,Wawlaymyaing(ST),MMR003005
 None,1621,1489,3110,Wawlaymyaing(ST),MMR003005
 Child under 10 years,1287,1177,2464,Wawlaymyaing(ST),MMR003005
 Total,4849,4364,9213,Wawlaymyaing(ST),MMR003005
