Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),43375,51070,94445,Yinmarpin,MMR005016
 Associate Scrutiny Card (blue),15,20,35,Yinmarpin,MMR005016
 Naturalised Scrutiny Card (green),100,77,177,Yinmarpin,MMR005016
 National Registration Card (3-fold),352,696,1048,Yinmarpin,MMR005016
 Religious card,550,33,583,Yinmarpin,MMR005016
 Temporary Registration Card (white),49,43,92,Yinmarpin,MMR005016
 Foreign Registration Card (FRC),1,-,1,Yinmarpin,MMR005016
 Foreign Passport,9,22,31,Yinmarpin,MMR005016
 None,9374,11477,20851,Yinmarpin,MMR005016
 Child under 10 years,12149,12068,24217,Yinmarpin,MMR005016
 Total,65974,75506,141480,Yinmarpin,MMR005016
