Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),6641,6507,13148,Karli(ST),MMR014014
 Associate Scrutiny Card (blue),3,5,8,Karli(ST),MMR014014
 Naturalised Scrutiny Card (green),16,2,18,Karli(ST),MMR014014
 National Registration Card (3-fold),26,31,57,Karli(ST),MMR014014
 Religious card,99,-,99,Karli(ST),MMR014014
 Temporary Registration Card (white),3,-,3,Karli(ST),MMR014014
 Foreign Passport,1,4,5,Karli(ST),MMR014014
 None,5883,6282,12165,Karli(ST),MMR014014
 Child under 10 years,3079,2998,6077,Karli(ST),MMR014014
 Total,15751,15829,31580,Karli(ST),MMR014014
