Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),44374,47963,92337,Loikaw,MMR002001
 Associate Scrutiny Card (blue),78,91,169,Loikaw,MMR002001
 Naturalised Scrutiny Card (green),208,151,359,Loikaw,MMR002001
 National Registration Card (3-fold),403,368,771,Loikaw,MMR002001
 Religious card,396,69,465,Loikaw,MMR002001
 Temporary Registration Card (white),32,32,64,Loikaw,MMR002001
 Foreign Registration Card (FRC),6,8,14,Loikaw,MMR002001
 Foreign Passport,42,4,46,Loikaw,MMR002001
 None,4188,3449,7637,Loikaw,MMR002001
 Child under 10 years,13382,13157,26539,Loikaw,MMR002001
 Total,63109,65292,128401,Loikaw,MMR002001
