Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),25260,22636,47896,Tantyan,MMR015004
 Associate Scrutiny Card (blue),45,49,94,Tantyan,MMR015004
 Naturalised Scrutiny Card (green),546,259,805,Tantyan,MMR015004
 National Registration Card (3-fold),3395,3705,7100,Tantyan,MMR015004
 Religious card,386,31,417,Tantyan,MMR015004
 Temporary Registration Card (white),116,140,256,Tantyan,MMR015004
 Foreign Registration Card (FRC),16,16,32,Tantyan,MMR015004
 Foreign Passport,22,13,35,Tantyan,MMR015004
 None,34471,42119,76590,Tantyan,MMR015004
 Child under 10 years,19766,19814,39580,Tantyan,MMR015004
 Total,84023,88782,172805,Tantyan,MMR015004
