Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),22532,25764,48296,Pindaya,MMR014006
 Associate Scrutiny Card (blue),12,10,22,Pindaya,MMR014006
 Naturalised Scrutiny Card (green),119,79,198,Pindaya,MMR014006
 National Registration Card (3-fold),140,161,301,Pindaya,MMR014006
 Religious card,395,16,411,Pindaya,MMR014006
 Temporary Registration Card (white),40,45,85,Pindaya,MMR014006
 Foreign Registration Card (FRC),19,12,31,Pindaya,MMR014006
 Foreign Passport,5,16,21,Pindaya,MMR014006
 None,7316,7158,14474,Pindaya,MMR014006
 Child under 10 years,7890,7574,15464,Pindaya,MMR014006
 Total,38468,40835,79303,Pindaya,MMR014006
