Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),15782,16973,32755,Mawlaik,MMR005031
 Associate Scrutiny Card (blue),6,8,14,Mawlaik,MMR005031
 Naturalised Scrutiny Card (green),33,28,61,Mawlaik,MMR005031
 National Registration Card (3-fold),37,55,92,Mawlaik,MMR005031
 Religious card,149,12,161,Mawlaik,MMR005031
 Temporary Registration Card (white),60,51,111,Mawlaik,MMR005031
 Foreign Passport,3,8,11,Mawlaik,MMR005031
 None,3607,3929,7536,Mawlaik,MMR005031
 Child under 10 years,5378,5195,10573,Mawlaik,MMR005031
 Total,25055,26259,51314,Mawlaik,MMR005031
