Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),29804,24833,54637,An,MMR012014
 Associate Scrutiny Card (blue),26,17,43,An,MMR012014
 Naturalised Scrutiny Card (green),35,17,52,An,MMR012014
 National Registration Card (3-fold),94,97,191,An,MMR012014
 Religious card,240,15,255,An,MMR012014
 Temporary Registration Card (white),121,108,229,An,MMR012014
 Foreign Registration Card (FRC),1,1,2,An,MMR012014
 Foreign Passport,136,18,154,An,MMR012014
 None,14912,22677,37589,An,MMR012014
 Child under 10 years,13454,13108,26562,An,MMR012014
 Total,58823,60891,119714,An,MMR012014
