Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),33648,35449,69097,Kawhmu,MMR013028
 Associate Scrutiny Card (blue),9,13,22,Kawhmu,MMR013028
 Naturalised Scrutiny Card (green),78,39,117,Kawhmu,MMR013028
 National Registration Card (3-fold),293,479,772,Kawhmu,MMR013028
 Religious card,510,31,541,Kawhmu,MMR013028
 Temporary Registration Card (white),78,89,167,Kawhmu,MMR013028
 Foreign Registration Card (FRC),2,3,5,Kawhmu,MMR013028
 Foreign Passport,10,6,16,Kawhmu,MMR013028
 None,12455,13781,26236,Kawhmu,MMR013028
 Child under 10 years,11216,10861,22077,Kawhmu,MMR013028
 Total,58299,60751,119050,Kawhmu,MMR013028
